symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PRKCG	0.0051535857514366755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	1	1	0	1	1	0	0.949785	No data	-0.8840383413211086	-0.3149027894336745	0	No data	No data	-0.22525000000000012	1	0.5
SLC22A3	0.0051535857514366755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	No data	0	0	1	1	0	0.33453500000000036	No data	0.1549281100229214	-0.26691729925385765	0	No data	No data	0	0.5	0
MMP2	0.0051535857514366755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	0.75	0	1	1	1	1	0.7954549999999998	0	-0.6732652635965826	-0.930569330612932	0	-1	No data	0	0.5	-1
CSF3	0.0051535857514366755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	No data	0	1	0	0	1	0	No data	-0.26880600125026044	-0.08888451419193671	0	No data	No data	No data	0.5	0
KIT	0.0051535857514366755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	1	1	0	1	1	1	0.13934500000000014	0	-0.748906022087935	-0.9831290176435922	0	-1	-1	0	0.5	0
MDM2	0.0051535857514366755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	0.75	0	0	1	1	1	0.024145000000000038	1	-0.9282142112940196	-0.9340163737996726	0	No data	No data	0	-1	-1
NRCAM	0.005130349813572105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04219517939975832	No data	No data	No data	1	1	0	0	0	0.4976999999999997	No data	-0.648468430923109	-0.7066258673469816	0	No data	No data	0	0.5	0
MANBA	0.00512278743021295	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0421329816678054	No data	No data	No data	0	0	0	1	0	0	No data	0.0690768910189623	-0.8713455700404051	0	No data	No data	0	-1	0
DNMT1	0.0050997913503659014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04194384764188179	No data	No data	1	0	0	1	1	1	0	0	-0.9469681183579912	-0.8853965938530053	-1	No data	No data	0	-1	-1
KCNA3	0.005088896706123496	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04185424332930865	No data	No data	1	1	0	1	1	0	0.4347850000000001	1	-0.6366951448218379	-0.2103275658845205	0	No data	No data	-0.17391250000000014	0.5	0.5
HTR5A	0.005083838063152601	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04181263791146529	No data	No data	1	1	0	1	1	0	0.3977600000000002	0	0.14211294019587406	0	0	-1	No data	0	1	1
PMCH	0.005082531719737261	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04180189373284766	No data	No data	No data	0	1	0	0	0	0.33333500000000027	No data	0.34548864346738895	-0.7249681581466527	0	-1	No data	No data	1	0.5
PEDS1	0.0050611907877655	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04162637266979572	No data	No data	No data	0	0	0	0	0	0.6296300000000002	No data	-0.29777036882683894	-0.2896343270450935	0	No data	No data	0	-1	-1
HDAC3	0.00504065857361635	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.041457503003792494	No data	No data	1	0	0	1	1	0	0.9883200000000002	1	-0.613356949364451	0	-1	-1	No data	-0.0011675000000000324	-1	-1
PTH	0.005030392466541775	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04137306817079087	No data	No data	No data	0	1	0	0	0	0	No data	0.7501562825588663	-0.5830277623990878	0	No data	No data	No data	1	0.5
PTPRM	0.005030392466541775	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04137306817079087	No data	No data	No data	1	0	0	1	0	0.8634799999999998	No data	-0.8464263388205876	-0.7070379332925244	0	-1	No data	-0.11603999999999992	-1	-1
BRAF	0.005004727198855337	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04116198108828684	No data	No data	1	0	0	1	1	1	0.6475200000000001	1	-0.8778912273390289	-0.9692752647997038	0	-1	-1	0	-1	-1
PRDX6	0.004989328038243475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04103532883878443	No data	No data	No data	1	0	0	0	0	0.4866050000000001	No data	0.6794123775786622	-0.9047280865877735	0	No data	No data	0	-1	-1
RGS10	0.004989328038243475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04103532883878443	No data	No data	No data	0	0	0	0	0	0.5580100000000001	No data	-0.46572202542196295	-0.6034882199505986	0	No data	No data	0	0.5	-1
VEGFC	0.004989328038243475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04103532883878443	No data	No data	0.75	0	1	0	0	0	0.27207500000000023	No data	-0.5247968326734737	-0.7711296360631253	0	No data	No data	0	-1	0
ABCC1	0.004989328038243475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04103532883878443	No data	No data	0.5	1	0	1	1	0	0.38928999999999975	0	-0.6313815378203793	-0.5727445319057586	0	-1	No data	0	-1	0
ANKFN1	0.004948263609945174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.040697589506777966	No data	No data	No data	1	0	0	0	0	0.49825500000000034	No data	-0.19535319858303812	-0.29293686791652257	0	No data	No data	No data	0.5	0.5
EIF2AK3	0.004948263609945174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.040697589506777966	No data	No data	No data	0	0	1	1	0	0.36828000000000005	1	-0.5658470514690561	-0.892412101245259	0	No data	No data	0	0.5	0
LINGO2	0.004948263609945174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.040697589506777966	No data	No data	No data	0	0	0	0	0	0.8844900000000002	No data	-0.6067930818920608	-0.414431705980485	0	No data	No data	-0.014027500000000082	0.5	0.5
CCL5	0.004879070048262538	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04012849873234709	No data	No data	No data	0	1	1	1	0	0.010990000000000322	No data	No data	0	0	No data	No data	0	0.5	0
