Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000187479,C11orf96,83,0.95822,23,-1.0960,12,-2.1146,50,0.10908,2,-4.4821,15,-1.8013,59,0.37630,195,2.66587
ENSG00000151348,EXT2,52,0.71210,53,0.72662,21,-0.7850,10,-1.7913,34,0.00953,37,0.14699,38,0.19505,35,0.04207
ENSG00000085117,CD82,193,3.64147,4,-3.0467,18,-1.0344,19,-0.8734,8,-2.1215,15,-1.2455,21,-0.7021,18,-0.9169
ENSG00000019505,SYT13,4,-4.1118,262,2.68407,25,-1.5051,170,1.74038,26,-1.3599,34,-1.0202,21,-1.6418,25,-1.4250
ENSG00000175264,CHST1,3,-5.3582,52,-1.3343,122,-0.0381,207,0.83767,125,-0.0029,136,0.15507,112,-0.1768,233,1.04549
ENSG00000121671,CRY2,37,-1.7623,138,0.25946,128,0.16407,127,0.13404,115,-0.0238,160,0.57959,85,-0.5127,94,-0.3411
ENSG00000121653,MAPK8IP1,588,1.70174,189,-0.2509,152,-0.6454,196,-0.1919,177,-0.3542,203,-0.1536,199,-0.1706,153,-0.5762
ENSG00000121680,PEX16,85,1.11111,42,-0.0687,28,-0.7431,28,-0.6849,33,-0.4294,54,0.39009,35,-0.3704,50,0.21047
ENSG00000135365,PHF21A,39,0.82855,16,-0.5632,13,-0.9553,14,-0.8283,27,0.26425,29,0.42309,14,-0.7636,38,0.79849
ENSG00000149091,DGKZ,89,-1.0247,215,0.36027,151,-0.2318,122,-0.5363,226,0.44159,201,0.28023,173,0.00669,193,0.18691
ENSG00000110492,MDK,6,-2.0853,74,1.76856,21,-0.3796,13,-1.1029,4,-2.6292,16,-0.8079,35,0.42989,58,1.31619
ENSG00000110497,AMBRA1,16,-1.2192,40,0.19665,33,-0.1243,47,0.47786,57,0.79912,40,0.22608,31,-0.1787,15,-1.2969
ENSG00000175224,ATG13,85,-0.0500,97,0.16592,72,-0.3395,131,0.65852,102,0.24530,76,-0.2399,61,-0.5682,103,0.25753
ENSG00000175220,ARHGAP1,223,1.67321,62,-0.4943,60,-0.6027,31,-1.5519,89,0.07186,64,-0.4828,99,0.25175,97,0.21477
ENSG00000175216,CKAP5,99,0.21520,133,0.70514,76,-0.2328,41,-1.1413,90,0.06846,111,0.46534,74,-0.2406,53,-0.7466
ENSG00000134569,LRP4,127,1.18737,24,-1.4421,55,-0.2257,54,-0.2331,15,-2.1306,68,0.13644,70,0.16873,91,0.60935
ENSG00000149179,C11orf49,82,-0.2548,112,0.23957,73,-0.4969,135,0.54420,102,0.09186,104,0.14172,88,-0.1428,92,-0.0749
ENSG00000149182,ARFGAP2,123,0.01731,131,0.12183,112,-0.1489,129,0.09279,128,0.07958,133,0.15732,108,-0.1844,108,-0.1864
ENSG00000134575,ACP2,35,-0.8237,114,1.05891,43,-0.5625,80,0.45828,49,-0.3405,69,0.25208,40,-0.6379,60,-0.0158
ENSG00000110514,MADD,75,-0.8093,296,1.45301,89,-0.6192,85,-0.6286,145,0.21457,139,0.16900,81,-0.7051,130,0.04278
ENSG00000165915,SLC39A13,41,0.41115,24,-0.4832,35,0.13685,35,0.12417,20,-0.7591,27,-0.3220,40,0.33795,39,0.33071
ENSG00000165916,PSMC3,157,-0.1052,156,-0.1102,191,0.24543,128,-0.4214,228,0.50590,169,0.01827,81,-1.1203,202,0.30760
ENSG00000149187,CELF1,74,-1.3684,103,-0.8678,177,-0.0369,194,0.11393,301,0.84447,170,-0.1076,244,0.49068,196,0.12970
ENSG00000213619,NDUFS3,96,-0.5568,120,-0.1994,136,-0.0122,140,0.03606,106,-0.4051,166,0.36522,132,-0.0597,168,0.34000
ENSG00000110536,PTPMT1,50,0.24292,8,-2.5507,40,-0.1064,16,-1.5318,39,-0.1354,42,-0.0205,75,0.91937,76,0.94751
ENSG00000123444,KBTBD4,15,-0.7640,29,0.25771,25,0.06043,2,-3.2829,32,0.41295,21,-0.2372,36,0.62919,38,0.69832
ENSG00000172247,C1QTNF4,76,-3.6357,293,-1.6607,934,0.14070,542,-0.7323,1436,0.84229,1199,0.61884,1135,0.44452,895,0.05632
ENSG00000109919,MTCH2,102,0.63307,72,0.06468,62,-0.1973,84,0.31499,61,-0.2041,65,-0.1163,47,-0.6085,73,0.08078
ENSG00000109920,FNBP4,36,0.69389,14,-0.8098,26,0.17926,2,-3.6777,36,0.68877,26,0.17318,28,0.28485,16,-0.6116
ENSG00000149177,PTPRJ,27,-0.2339,29,-0.1417,25,-0.4037,29,-0.1192,46,0.60247,37,0.25986,26,-0.3130,36,0.20601
ENSG00000086205,FOLH1,215,4.45601,1,-4.8098,13,-1.3801,15,-1.0266,2,-3.5433,8,-2.0709,4,-2.9671,20,-0.6088
ENSG00000149115,TNKS1BP1,4,-2.6922,8,-1.8013,24,-0.1632,68,1.60246,25,-0.1036,36,0.56702,8,-1.8612,33,0.34603
ENSG00000149136,SSRP1,85,0.75925,78,0.62799,41,-0.4435,16,-1.7818,62,0.23574,69,0.48148,27,-1.0277,44,-0.3060
ENSG00000134809,TIMM10,60,0.44703,64,0.56682,35,-0.4495,19,-1.3248,43,-0.0678,39,-0.2748,49,0.13015,70,0.71669
ENSG00000156587,UBE2L6,47,0.25272,49,0.33349,38,-0.1028,61,0.67948,22,-0.8975,38,-0.1012,23,-0.8603,47,0.25981
ENSG00000149131,SERPING1,16,-0.7816,1,-4.5423,11,-1.4090,5,-2.3548,3,-3.0836,17,-0.7868,45,0.86215,141,3.28371
ENSG00000156599,ZDHHC5,29,0.09210,37,0.50932,21,-0.4736,15,-0.9075,28,0.05630,30,0.20660,21,-0.4140,39,0.60570
ENSG00000156603,MED19,9,-1.5098,35,0.51135,20,-0.4401,33,0.40861,30,0.24272,22,-0.2722,54,1.25521,11,-1.2621
ENSG00000213593,TMX2,125,0.18015,132,0.26172,89,-0.3981,132,0.27009,122,0.13320,120,0.12216,77,-0.5802,113,0.02115
ENSG00000211450,SELENOH,89,-0.8858,250,0.76877,117,-0.5037,223,0.57764,160,0.03740,173,0.18459,136,-0.2193,127,-0.3296
ENSG00000198561,CTNND1,42,0.78458,26,-0.0266,26,-0.0111,13,-1.1123,10,-1.4111,31,0.30439,32,0.32976,25,-0.0851
ENSG00000186660,ZFP91,64,0.70732,45,0.11951,26,-0.7719,44,0.08949,26,-0.7385,35,-0.2745,53,0.39378,60,0.60072
ENSG00000110042,DTX4,68,1.38260,2,-3.6418,25,-0.3299,46,0.70496,22,-0.4691,25,-0.2908,18,-0.7564,42,0.57020
ENSG00000110048,OSBP,22,-0.8149,58,0.71401,31,-0.3301,25,-0.6129,46,0.32840,31,-0.3200,63,0.86641,36,-0.0804
ENSG00000166902,MRPL16,44,0.81733,41,0.69519,25,-0.1224,0,-5.0658,18,-0.6244,31,0.30618,17,-0.7201,34,0.39116
ENSG00000110107,PRPF19,65,-0.7521,181,0.90890,59,-0.9823,141,0.48324,133,0.39330,96,-0.1515,95,-0.1477,122,0.24715
ENSG00000110108,TMEM109,45,0.23163,32,-0.3214,31,-0.4196,25,-0.6566,39,0.00680,33,-0.3066,30,-0.3959,91,1.45259
ENSG00000006118,TMEM132A,74,-0.9039,190,0.58382,121,-0.1619,139,0.07220,71,-0.9768,117,-0.2209,179,0.48756,198,0.65725
ENSG00000167986,DDB1,94,-0.4614,197,0.73411,89,-0.6084,100,-0.3699,139,0.15784,100,-0.4022,191,0.68400,162,0.40769
ENSG00000149532,CPSF7,53,-0.3571,75,0.18039,57,-0.2951,24,-1.5568,93,0.53112,78,0.27364,60,-0.1800,96,0.58615
ENSG00000167985,SDHAF2,23,-1.0447,41,-0.1376,44,-0.0319,69,0.70254,21,-1.1983,53,0.29330,61,0.48331,42,-0.1261
ENSG00000204950,LRRC10B,12,-1.7002,6,-2.7610,46,0.38964,28,-0.4560,87,1.45781,40,0.13096,17,-1.1798,49,0.47348
ENSG00000011347,SYT7,0,-9.3080,73,-0.4748,100,0.01317,38,-1.4788,239,1.50058,153,0.82469,46,-1.1826,93,-0.1118
ENSG00000134780,DAGLA,1,-4.9603,110,2.41925,25,-0.2844,3,-3.2160,31,0.10630,26,-0.2127,18,-0.7447,28,-0.0806
ENSG00000124920,MYRF,1074,5.19957,2,-6.0894,43,-1.8585,11,-3.6283,20,-2.8406,30,-2.3831,18,-2.9968,62,-1.1726
ENSG00000134825,TMEM258,332,1.86605,93,-0.3380,73,-0.7835,90,-0.3857,70,-0.7678,67,-0.9202,122,0.10094,162,0.56670
ENSG00000134824,FADS2,89,-0.0866,93,-0.0203,96,0.03850,73,-0.3863,56,-0.8065,87,-0.1408,167,0.96024,95,0.02495
ENSG00000149485,FADS1,79,1.51582,23,-0.5103,29,-0.1835,12,-1.4672,9,-1.8450,21,-0.7552,50,0.72092,50,0.70857
ENSG00000221968,FADS3,22,-1.0351,17,-1.4189,35,-0.3813,94,1.29102,39,-0.1839,27,-0.8060,56,0.40726,84,1.08974
ENSG00000167995,BEST1,165,3.14326,11,-1.6033,14,-1.4303,10,-1.7791,12,-1.4984,17,-1.1369,37,0.20306,33,-0.0034
ENSG00000167996,FTH1,5731,2.35243,858,-0.9547,1313,-0.3296,993,-0.7301,645,-1.3868,1005,-0.7804,1433,-0.1581,1530,-0.0537
