p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.393566586716662e-224,-0.36666285838961865,0.495,0.686,1.461708114193884e-220,1,FNDC3A
1.1065800112043148e-221,-0.16816036554728875,0.954,0.933,2.1877086821509305e-218,1,PTPN5
1.823038462018127e-221,-0.7951144146341274,0.571,0.726,3.6041470394098373e-218,1,CCK
1.825719630319266e-221,-0.3765017427012829,0.494,0.686,3.6094477091411886e-218,1,SVOP
4.517212050275569e-221,-0.7346388010250886,0.443,0.607,8.930528223394799e-218,1,NPTXR
6.693769773572625e-221,-0.3444578083635286,0.434,0.556,1.323358284235308e-217,1,DYNLT1
8.444269412690141e-221,-0.2023609652312235,0.47,0.661,1.6694320628888408e-217,1,TMEM132B
1.5664738781844145e-219,-0.29408118035834685,0.486,0.625,3.0969188571705874e-216,1,C9ORF24
3.7293906403080756e-219,-0.4665814123202199,0.446,0.608,7.373005295889066e-216,1,CORT
3.4020605267854352e-217,-0.6591502959517581,0.664,0.82,6.725873661454806e-214,1,PDYN
3.638891513623768e-217,-0.12397851448705444,0.85,0.853,7.194088522434189e-214,1,SLC12A5
4.589286510122663e-217,-0.8273017739904032,0.409,0.532,9.073019430512505e-214,1,MATN2
9.764105500045191e-217,-0.179438713443958,0.44,0.615,1.9303636573589342e-213,1,SV2B
3.3898723623907373e-216,-0.2298158247879467,0.485,0.678,6.701777660446488e-213,1,GPR27
3.54086647924527e-216,0.522663242706958,0.668,0.702,7.000293029467899e-213,1,CA12
1.7295927530811053e-214,-0.6625360303233774,0.578,0.709,3.419404872841345e-211,1,PODXL2
8.062379445655792e-213,-0.5232752609479887,0.519,0.703,1.59393241640615e-209,1,UHMK1
1.2225566911096033e-211,-0.40349422972592364,0.511,0.698,2.4169945783236856e-208,1,IRS2
5.259900411353935e-211,-0.11944785387622359,0.886,0.874,1.0398823113246731e-207,1,ST8SIA3
3.452647705286524e-210,-0.5051090706353256,0.533,0.676,6.825884513351458e-207,1,BTG1
2.3607402066510498e-206,-0.2259466123661097,0.486,0.679,4.667183388549126e-203,1,LRP11
3.7230355673601614e-206,-0.29889112239993976,0.491,0.675,7.360441316671039e-203,1,SPTBN2
9.761577439201084e-206,-0.8259207186911603,0.402,0.52,1.9298638597300543e-202,1,SPAG8
4.291509797231123e-205,-0.15383883774604368,0.465,0.653,8.484314869125929e-202,1,SYNGAP1
8.380113558620652e-202,-0.3815304222765006,0.443,0.57,1.656748450539303e-198,1,FABP3
1.0122062220643307e-200,-0.6142839676430731,0.58,0.754,2.0011317010211818e-197,1,GDA
9.700463879948162e-200,-0.16467817116828076,0.977,0.956,1.9177817090657515e-196,1,FBXL16
8.015447195892557e-199,-0.33095459945635364,0.471,0.643,1.5846539106279585e-195,1,AKAP12
9.084799527068274e-199,-0.2764023720338976,0.481,0.672,1.796064866501398e-195,1,HMGCR
4.973433629728267e-198,-0.21487358299570092,0.468,0.655,9.832478285972784e-195,1,KCNIP4
6.976501985895129e-198,-0.34534004450084427,0.434,0.563,1.379254442611467e-194,1,BMPR1B
4.470331984662309e-197,-0.5520602386903262,0.404,0.52,8.837846333677385e-194,1,HYDIN
2.8830684666417076e-193,-0.5617324256051515,0.567,0.735,5.699826358550656e-190,1,CARHSP1
4.2537841828893347e-193,-0.13261677495306134,0.827,0.836,8.409731329572215e-190,1,ADCY5
7.087783386501016e-193,-0.9417481444325617,0.422,0.548,1.4012547755112509e-189,1,ELAVL2
1.1776500616036735e-191,-0.15582748623002585,0.472,0.656,2.3282141717904624e-188,1,GNPTAB
1.5887253868255462e-191,0.10112446517189944,0.459,0.638,3.140910089754105e-188,1,TSPOAP1
4.639362167169999e-190,-0.2945433594819121,0.504,0.681,9.172019004495089e-187,1,SLC2A3
8.871485579704865e-190,-0.311793943536402,0.503,0.677,1.753892699107652e-186,1,ARPC5L
1.4372743699037193e-188,-0.4633985304593057,0.527,0.696,2.8414914292996532e-185,1,PCDH17
3.131717398452902e-188,-0.22693535174593193,0.487,0.667,6.191405296741388e-185,1,CPT1C
2.5675936545586343e-187,-0.13541224184704415,0.446,0.593,5.07613265506242e-184,1,IFI27
2.855152449762155e-187,-0.7501949417853334,0.53,0.65,5.64463639317978e-184,1,CXCL14
4.101893032493687e-186,0.278800685422494,0.447,0.625,8.10944252524002e-183,1,RASGRP2
1.3693922428435328e-185,-0.3310105967658745,0.535,0.701,2.7072884641016644e-182,1,TMEM91
2.089715524822031e-185,-0.14320651244428217,0.477,0.658,4.1313675925731554e-182,1,NAT14
2.3074200502968786e-185,-0.5234491465797589,0.559,0.728,4.5617694394369286e-182,1,MLLT1
2.8624221485974255e-185,-0.6522794142197421,0.403,0.516,5.65900858777711e-182,1,LRRIQ1
3.184553969295609e-185,-0.2312502785876167,0.504,0.693,6.295863197297418e-182,1,CRY2
6.922816334824324e-185,-0.38525512686205987,0.421,0.544,1.3686407893947688e-181,1,YAP1
8.715768700512501e-185,-0.1282490222562429,0.486,0.667,1.7231074720913214e-181,1,CYLD
